"Popolazione per età, vista per singola area - Comune: 006058 - Cerreto Grue"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cerreto Grue"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
32;5;4;2;3;2;4;7;3;3;3;3;3;5;3;6;5;1;3
33;2;6;5;3;3;2;5;7;3;4;3;3;3;5;3;6;3;1
34;7;3;6;6;3;3;1;4;7;4;4;4;3;4;5;3;4;3
35;2;5;4;6;6;3;3;1;4;7;4;4;4;4;4;6;3;4
36;3;2;5;3;5;6;3;3;1;4;8;4;4;3;4;4;5;3
37;8;5;3;5;3;5;6;3;3;2;4;8;4;4;3;3;4;6
38;6;7;5;3;6;3;6;6;3;3;2;4;8;4;5;3;3;4
39;7;6;7;5;3;6;3;5;5;3;3;2;4;8;5;5;3;3
40;2;7;6;7;5;3;6;3;5;5;3;3;2;5;8;5;6;4
41;7;2;7;6;7;5;3;6;3;5;6;3;4;2;5;8;5;6
42;3;7;2;9;6;7;5;3;6;3;5;6;4;4;2;5;8;5
43;5;3;7;2;9;6;7;5;2;6;3;5;7;4;4;2;6;8
44;7;5;3;7;2;8;6;7;5;2;6;3;5;8;4;4;2;6
45;3;6;5;3;7;2;8;6;8;3;2;6;3;4;9;4;4;2
46;7;4;6;5;3;7;2;8;6;9;3;2;6;3;4;9;4;5
47;4;7;4;6;5;3;6;2;8;6;9;3;2;7;3;4;8;4
48;5;4;7;5;6;5;3;6;2;9;6;9;3;2;7;4;4;8
49;2;5;4;7;5;6;4;3;6;3;9;6;9;3;2;7;4;4
50;9;3;5;4;7;5;6;4;3;6;3;9;6;9;3;3;7;3
51;3;8;3;5;4;7;6;7;4;3;6;3;9;6;9;3;2;7
52;5;3;8;3;5;4;7;6;6;4;3;6;3;7;6;9;3;2
53;3;4;3;8;3;6;3;8;6;6;4;3;6;5;6;5;9;3
54;5;3;4;3;8;3;6;4;8;7;6;4;3;6;5;6;5;9
55;6;5;5;3;3;8;3;7;4;8;7;7;4;3;6;5;7;5
56;1;6;5;5;3;3;8;3;7;4;8;7;6;4;3;6;4;7
57;3;1;6;6;5;3;3;8;3;7;4;8;7;6;4;3;4;4
58;5;4;1;6;6;5;3;3;9;3;6;4;8;7;6;4;3;4
59;4;5;4;1;6;6;4;2;3;9;3;6;4;7;6;6;5;3
60;5;4;5;4;1;6;6;4;5;3;8;2;6;4;7;6;6;5
61;2;5;4;6;4;1;6;6;5;4;3;8;2;6;4;7;5;6
62;1;2;6;4;6;4;1;6;6;5;4;2;8;2;6;4;7;5
63;1;1;2;6;5;6;4;1;5;6;5;4;3;8;2;6;4;7
64;8;1;1;3;6;5;6;4;1;5;5;5;4;3;8;2;6;4
65;6;8;1;1;3;6;5;5;4;1;5;5;5;4;3;9;2;6
66;6;6;8;1;3;3;6;4;5;4;1;5;4;5;4;3;9;2
67;2;6;5;8;1;3;3;6;3;5;4;1;5;4;5;4;3;9
68;5;2;6;4;8;1;3;3;5;5;5;4;1;5;4;5;4;3
69;4;5;3;6;4;8;1;3;3;5;5;5;5;1;5;4;5;4
70;3;4;5;3;4;4;8;1;2;2;5;4;5;4;1;4;4;5
71;4;3;4;5;3;4;4;7;1;2;2;5;4;5;4;1;5;4
72;2;4;3;4;5;3;4;4;7;1;2;2;5;4;5;4;1;4
73;4;2;4;3;4;5;3;4;4;7;1;0;2;5;5;5;4;1
74;7;3;2;4;3;4;5;3;4;4;7;1;0;2;5;4;5;4
75;2;6;2;2;3;3;4;4;3;4;3;7;1;0;2;5;4;3
76;4;2;6;2;2;4;2;3;4;3;4;3;7;0;0;2;5;3
77;5;4;2;5;2;2;2;2;3;3;3;4;2;7;0;0;2;5
78;6;6;4;2;5;2;2;2;1;3;3;3;4;3;6;0;0;2
79;4;6;6;4;3;6;2;3;2;1;3;2;3;3;3;6;0;0
80;1;4;4;6;3;3;7;2;3;2;1;3;2;2;3;3;6;0
81;6;0;4;3;5;3;3;7;2;3;2;1;3;1;2;3;3;6
82;6;5;0;4;2;4;3;2;5;2;1;2;1;2;1;2;3;3
83;0;6;5;0;4;2;4;2;2;5;2;1;2;1;2;1;1;3
84;2;0;5;5;0;4;2;4;2;2;5;2;0;2;1;2;1;1
85;4;2;0;5;4;0;4;2;5;2;2;4;2;0;2;1;2;1
86;6;4;2;0;5;4;0;4;2;5;2;2;4;2;0;2;1;2
87;2;7;3;2;0;4;3;0;4;2;5;2;2;4;2;0;2;1
88;2;2;7;3;3;0;3;3;0;3;1;5;2;2;2;2;0;1
89;0;2;1;7;3;3;0;3;3;0;3;1;4;1;0;2;2;0
90;2;0;3;1;4;3;2;0;3;3;0;2;1;4;1;0;2;2
91;1;2;0;2;2;5;3;2;1;3;3;0;2;1;4;0;0;2
92;1;1;2;0;1;1;4;3;2;1;1;2;0;1;1;4;0;0
93;0;1;1;1;0;1;0;2;3;2;1;1;2;0;1;1;4;0
94;1;0;1;1;1;0;1;0;2;3;2;1;1;1;0;1;0;1
95;0;1;0;1;0;1;0;1;0;2;2;1;1;1;1;0;1;0
96;0;0;1;0;1;0;1;0;1;0;1;2;0;1;1;0;0;1
97;2;0;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0
98;0;2;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0
99;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Totale;337;336;341;345;343;347;338;323;320;323;316;311;311;309;312;313;298;297
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;2;2;0;0;3;2;2;0;2;0;0;1;1;2;1;1;0;1
1;1;2;2;0;1;3;2;1;0;2;0;0;1;1;2;1;1;0
2;1;0;2;2;0;1;3;2;1;0;2;0;0;0;1;2;1;1
3;1;1;0;2;2;0;1;2;2;1;0;1;0;1;0;2;2;1
4;0;1;1;0;2;2;0;1;2;2;1;0;1;0;1;0;1;2
5;0;0;1;1;0;2;2;0;1;2;2;1;0;1;0;1;0;2
6;0;0;0;1;1;0;1;1;0;1;2;2;1;0;1;0;0;0
7;2;0;0;0;1;1;0;1;1;0;1;2;3;2;0;1;0;0
8;1;2;0;0;0;1;1;0;1;1;0;1;2;3;2;0;1;0
9;2;1;2;0;0;0;1;1;0;1;1;0;1;2;3;2;0;1
10;2;2;1;2;0;0;0;1;1;0;2;1;0;1;2;3;2;0
11;1;2;2;1;2;0;0;0;1;1;0;5;2;0;1;2;3;2
12;1;1;2;2;1;2;0;0;0;1;1;0;3;2;0;1;2;3
13;1;1;1;2;2;1;2;0;0;0;1;1;0;3;2;0;1;2
14;2;1;1;1;2;2;1;2;0;0;0;1;1;0;3;2;0;1
15;1;2;1;1;1;2;2;1;2;0;0;0;1;1;0;3;2;0
16;1;1;2;1;1;1;2;2;1;2;0;0;0;1;1;0;3;2
17;4;1;1;2;1;1;1;2;2;1;2;0;0;0;1;1;0;3
18;1;4;1;1;2;1;1;1;2;2;1;2;0;0;0;1;1;0
19;1;1;4;1;1;2;1;1;1;2;2;1;2;0;0;0;0;1
20;2;1;1;4;1;1;2;1;1;1;2;2;1;2;0;0;0;0
21;3;2;1;1;4;1;1;2;1;1;1;2;2;1;2;0;0;0
22;2;3;2;1;1;4;1;1;2;1;1;1;2;2;0;2;0;0
23;2;2;3;2;1;1;3;1;1;2;1;1;1;2;2;0;2;0
24;2;2;2;3;2;1;1;3;1;1;2;1;1;1;2;2;0;2
25;1;2;2;2;3;2;1;1;3;1;1;2;1;1;1;2;2;0
26;3;0;2;2;2;3;2;1;1;3;1;1;2;1;1;1;2;2
27;0;3;0;2;2;2;3;2;1;1;3;1;1;2;1;1;1;2
28;0;1;4;0;2;2;2;3;2;1;1;3;1;1;2;1;1;2
29;4;0;1;3;0;2;2;2;3;2;1;1;3;1;1;2;0;1
30;1;3;0;1;4;0;2;2;2;3;2;1;1;3;1;1;2;0
31;2;1;3;0;1;4;0;2;1;2;3;2;1;1;3;1;1;1
32;3;2;1;3;0;1;3;0;2;1;2;3;2;1;1;3;1;1
33;1;3;3;1;3;0;1;3;0;2;1;2;3;3;1;1;2;1
34;5;1;3;3;1;3;0;1;3;1;2;2;2;4;3;1;1;2
35;1;4;1;3;3;1;3;0;1;3;1;2;2;3;4;3;1;1
36;1;1;5;1;3;3;1;3;0;1;3;1;2;2;3;4;3;1
37;4;2;2;5;1;3;3;1;3;1;1;3;1;2;2;2;4;4
38;4;3;2;2;5;1;4;3;1;3;1;1;3;1;3;2;2;4
39;2;4;3;2;2;5;1;3;2;1;3;1;1;3;1;3;2;2
40;2;2;4;3;2;2;5;1;3;2;1;3;1;2;3;1;4;2
41;4;2;2;4;3;2;2;5;1;3;4;1;4;1;2;3;1;4
42;2;4;2;3;4;3;2;1;5;1;3;4;1;4;1;2;3;1
43;1;2;4;2;3;4;3;2;1;5;1;3;6;1;4;1;2;3
44;0;1;2;4;2;3;4;3;2;1;5;1;3;7;1;4;1;2
45;2;0;1;2;4;2;3;4;4;2;1;5;1;3;8;1;4;1
46;2;2;0;1;2;4;2;3;4;5;2;1;5;1;3;8;1;5
47;4;2;2;0;1;2;3;2;3;4;5;2;1;6;1;3;7;1
48;1;4;2;3;0;1;2;3;2;3;4;5;2;1;6;1;3;7
49;2;1;4;2;3;0;1;2;3;3;3;4;5;2;1;6;1;3
50;4;2;1;4;2;3;0;1;2;3;3;3;4;5;2;2;6;1
51;3;4;2;1;4;2;4;0;1;2;3;3;3;4;5;2;1;6
52;3;3;4;2;1;4;2;4;0;1;2;3;3;1;4;5;2;1
53;2;2;3;4;2;2;3;3;4;0;1;2;3;3;1;3;5;2
54;2;2;2;3;4;2;2;4;3;5;0;1;2;3;3;1;3;5
55;4;2;3;1;3;4;2;3;4;3;5;1;1;2;3;3;1;3
56;0;4;2;3;1;3;4;2;3;4;3;5;0;1;2;3;3;1
57;2;0;4;3;3;1;3;4;2;3;4;2;5;0;1;2;2;3
58;3;3;0;4;3;3;1;3;4;2;2;4;2;5;0;1;2;2
59;2;3;3;0;4;3;2;1;3;4;2;2;4;1;4;0;2;2
60;0;2;3;3;0;4;3;2;3;3;3;2;2;4;1;4;0;2
61;2;0;2;4;3;0;4;3;3;3;3;3;2;2;4;1;3;0
62;0;2;0;2;4;3;0;4;3;3;3;2;3;2;2;4;1;3
63;1;0;2;0;2;4;3;0;4;3;3;3;3;3;2;2;4;1
64;5;1;0;3;0;2;4;3;0;4;2;3;3;3;3;2;2;4
65;2;5;1;0;3;0;2;3;3;0;4;2;3;3;3;4;2;2
66;3;2;5;1;2;3;0;2;3;3;0;4;1;3;3;3;4;2
67;1;3;2;5;1;2;3;0;1;3;3;0;4;1;3;3;3;4
68;3;1;3;1;5;1;2;3;0;2;3;3;0;4;1;3;3;3
69;3;3;2;3;1;5;1;2;3;0;2;3;3;0;4;1;3;3
70;2;3;3;2;1;1;5;1;2;2;0;2;3;3;0;3;1;3
71;2;2;3;3;2;1;1;4;1;2;2;0;2;3;3;0;3;1
72;2;2;2;3;3;2;1;1;4;1;2;2;0;2;3;3;0;3
73;0;2;2;2;3;3;2;1;1;4;1;0;2;0;3;3;3;0
74;2;0;2;2;2;3;3;2;1;1;4;1;0;2;0;2;3;3
75;2;1;0;2;2;2;3;2;2;1;1;4;1;0;2;0;2;2
76;1;2;1;0;2;2;1;2;2;2;1;1;4;0;0;2;0;1
77;1;1;2;1;0;2;1;1;2;2;2;1;1;4;0;0;2;0
78;4;1;1;2;1;0;2;1;0;2;2;2;1;1;3;0;0;2
79;0;4;1;1;2;2;0;3;1;0;2;1;2;1;1;3;0;0
80;0;0;2;1;0;2;2;0;3;1;0;2;1;2;1;1;3;0
81;0;0;0;2;0;0;2;2;0;3;1;0;2;1;2;1;1;3
82;2;0;0;0;1;0;0;1;1;0;1;1;0;1;1;2;1;1
83;0;2;0;0;0;1;0;0;1;1;0;1;1;0;1;1;1;1
84;0;0;2;0;0;0;1;0;0;1;1;0;0;1;0;1;1;1
85;3;0;0;2;0;0;0;1;0;0;1;1;0;0;1;0;1;1
86;3;3;0;0;2;0;0;0;1;0;0;1;1;0;0;1;0;1
87;1;4;3;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0
88;1;1;4;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0
89;0;1;1;4;3;0;0;1;0;0;0;0;0;0;0;0;0;0
90;2;0;1;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0
91;1;2;0;0;1;2;3;0;1;1;0;0;0;0;0;0;0;0
92;1;1;2;0;0;1;1;3;0;1;0;0;0;0;0;0;0;0
93;0;1;1;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0
94;0;0;1;1;1;0;0;0;0;3;0;1;0;0;0;0;0;0
95;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0
96;0;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0
97;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
98;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
99;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;163;162;166;166;164;168;162;154;155;160;155;155;156;159;158;158;149;150
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;0;1;1;0;1;0;2;0;0;1;2;0;1;0;5;1;0;1
1;1;0;1;1;0;1;0;2;0;0;1;2;0;1;0;5;0;0
2;1;1;0;1;1;0;1;0;2;0;0;1;1;0;1;0;5;0
3;1;1;1;0;1;1;0;1;0;2;0;0;1;1;0;1;0;5
4;0;1;1;1;0;1;1;0;1;0;2;0;0;1;1;0;1;0
5;0;0;1;1;1;0;1;0;0;1;0;2;0;1;1;1;0;1
6;1;0;0;1;1;1;0;1;0;0;1;0;2;1;1;2;1;0
7;2;1;1;0;1;1;1;0;1;0;0;1;1;2;1;1;1;1
8;1;2;1;1;0;1;1;1;0;1;0;0;1;1;2;1;1;1
9;2;1;2;1;1;0;1;1;1;0;1;0;2;1;1;2;0;1
10;2;2;1;2;1;1;0;1;1;1;0;1;0;2;1;1;2;0
11;2;2;2;0;2;1;1;0;1;1;1;0;1;0;2;1;1;2
12;0;2;2;2;0;2;1;1;0;1;1;1;0;1;0;2;1;1
13;1;0;2;2;2;0;2;1;1;0;1;1;1;0;1;0;3;1
14;0;1;0;2;2;2;1;2;1;0;0;1;1;1;0;1;0;3
15;1;0;1;0;2;2;2;1;2;1;0;0;1;0;1;0;1;0
16;0;1;0;1;0;2;2;2;1;2;1;0;0;1;0;1;0;1
17;3;0;1;1;1;0;2;2;2;1;2;1;0;0;1;0;1;0
18;1;3;0;1;1;1;0;1;2;2;1;2;1;0;0;1;0;1
19;4;1;3;0;1;1;0;0;1;2;2;1;2;1;0;1;1;0
20;2;4;1;4;0;1;1;0;0;1;2;2;1;2;1;0;0;1
21;0;2;4;2;4;0;1;1;0;0;1;2;2;0;2;1;0;0
22;1;0;3;4;2;4;0;1;1;0;0;1;2;2;0;2;1;0
23;3;1;1;4;4;2;4;0;1;1;0;0;1;2;2;0;2;1
24;1;3;1;1;4;4;3;4;0;1;1;0;0;1;2;2;0;2
25;2;1;3;1;1;4;2;3;4;0;1;1;0;0;1;2;2;0
26;1;3;3;3;1;1;4;1;3;3;0;2;0;0;0;1;2;2
27;1;1;3;3;3;1;1;4;1;4;3;0;2;0;1;0;1;2
28;4;0;2;4;2;3;1;1;3;1;4;3;0;2;0;1;0;1
29;1;4;0;3;3;2;3;1;1;4;1;4;3;0;2;0;2;1
30;3;1;3;0;3;3;2;3;1;1;4;1;4;3;0;2;0;3
31;2;2;1;3;2;4;3;1;3;1;0;3;1;5;3;0;2;0
32;2;2;1;0;2;3;4;3;1;2;1;0;3;2;5;2;0;2
33;1;3;2;2;0;2;4;4;3;2;2;1;0;2;2;5;1;0
34;2;2;3;3;2;0;1;3;4;3;2;2;1;0;2;2;3;1
35;1;1;3;3;3;2;0;1;3;4;3;2;2;1;0;3;2;3
36;2;1;0;2;2;3;2;0;1;3;5;3;2;1;1;0;2;2
37;4;3;1;0;2;2;3;2;0;1;3;5;3;2;1;1;0;2
38;2;4;3;1;1;2;2;3;2;0;1;3;5;3;2;1;1;0
39;5;2;4;3;1;1;2;2;3;2;0;1;3;5;4;2;1;1
40;0;5;2;4;3;1;1;2;2;3;2;0;1;3;5;4;2;2
41;3;0;5;2;4;3;1;1;2;2;2;2;0;1;3;5;4;2
42;1;3;0;6;2;4;3;2;1;2;2;2;3;0;1;3;5;4
43;4;1;3;0;6;2;4;3;1;1;2;2;1;3;0;1;4;5
44;7;4;1;3;0;5;2;4;3;1;1;2;2;1;3;0;1;4
45;1;6;4;1;3;0;5;2;4;1;1;1;2;1;1;3;0;1
46;5;2;6;4;1;3;0;5;2;4;1;1;1;2;1;1;3;0
47;0;5;2;6;4;1;3;0;5;2;4;1;1;1;2;1;1;3
48;4;0;5;2;6;4;1;3;0;6;2;4;1;1;1;3;1;1
49;0;4;0;5;2;6;3;1;3;0;6;2;4;1;1;1;3;1
50;5;1;4;0;5;2;6;3;1;3;0;6;2;4;1;1;1;2
51;0;4;1;4;0;5;2;7;3;1;3;0;6;2;4;1;1;1
52;2;0;4;1;4;0;5;2;6;3;1;3;0;6;2;4;1;1
53;1;2;0;4;1;4;0;5;2;6;3;1;3;2;5;2;4;1
54;3;1;2;0;4;1;4;0;5;2;6;3;1;3;2;5;2;4
55;2;3;2;2;0;4;1;4;0;5;2;6;3;1;3;2;6;2
56;1;2;3;2;2;0;4;1;4;0;5;2;6;3;1;3;1;6
57;1;1;2;3;2;2;0;4;1;4;0;6;2;6;3;1;2;1
58;2;1;1;2;3;2;2;0;5;1;4;0;6;2;6;3;1;2
59;2;2;1;1;2;3;2;1;0;5;1;4;0;6;2;6;3;1
60;5;2;2;1;1;2;3;2;2;0;5;0;4;0;6;2;6;3
61;0;5;2;2;1;1;2;3;2;1;0;5;0;4;0;6;2;6
62;1;0;6;2;2;1;1;2;3;2;1;0;5;0;4;0;6;2
63;0;1;0;6;3;2;1;1;1;3;2;1;0;5;0;4;0;6
64;3;0;1;0;6;3;2;1;1;1;3;2;1;0;5;0;4;0
65;4;3;0;1;0;6;3;2;1;1;1;3;2;1;0;5;0;4
66;3;4;3;0;1;0;6;2;2;1;1;1;3;2;1;0;5;0
67;1;3;3;3;0;1;0;6;2;2;1;1;1;3;2;1;0;5
68;2;1;3;3;3;0;1;0;5;3;2;1;1;1;3;2;1;0
69;1;2;1;3;3;3;0;1;0;5;3;2;2;1;1;3;2;1
70;1;1;2;1;3;3;3;0;0;0;5;2;2;1;1;1;3;2
71;2;1;1;2;1;3;3;3;0;0;0;5;2;2;1;1;2;3
72;0;2;1;1;2;1;3;3;3;0;0;0;5;2;2;1;1;1
73;4;0;2;1;1;2;1;3;3;3;0;0;0;5;2;2;1;1
74;5;3;0;2;1;1;2;1;3;3;3;0;0;0;5;2;2;1
75;0;5;2;0;1;1;1;2;1;3;2;3;0;0;0;5;2;1
76;3;0;5;2;0;2;1;1;2;1;3;2;3;0;0;0;5;2
77;4;3;0;4;2;0;1;1;1;1;1;3;1;3;0;0;0;5
78;2;5;3;0;4;2;0;1;1;1;1;1;3;2;3;0;0;0
79;4;2;5;3;1;4;2;0;1;1;1;1;1;2;2;3;0;0
80;1;4;2;5;3;1;5;2;0;1;1;1;1;0;2;2;3;0
81;6;0;4;1;5;3;1;5;2;0;1;1;1;0;0;2;2;3
82;4;5;0;4;1;4;3;1;4;2;0;1;1;1;0;0;2;2
83;0;4;5;0;4;1;4;2;1;4;2;0;1;1;1;0;0;2
84;2;0;3;5;0;4;1;4;2;1;4;2;0;1;1;1;0;0
85;1;2;0;3;4;0;4;1;5;2;1;3;2;0;1;1;1;0
86;3;1;2;0;3;4;0;4;1;5;2;1;3;2;0;1;1;1
87;1;3;0;2;0;3;3;0;4;1;5;2;1;3;2;0;1;1
88;1;1;3;0;3;0;2;3;0;3;1;5;2;1;2;2;0;1
89;0;1;0;3;0;3;0;2;3;0;3;1;4;1;0;2;2;0
90;0;0;2;0;3;0;2;0;2;3;0;2;1;4;1;0;2;2
91;0;0;0;2;1;3;0;2;0;2;3;0;2;1;4;0;0;2
92;0;0;0;0;1;0;3;0;2;0;1;2;0;1;1;4;0;0
93;0;0;0;0;0;1;0;2;0;2;0;1;2;0;1;1;4;0
94;1;0;0;0;0;0;1;0;2;0;2;0;1;1;0;1;0;1
95;0;1;0;0;0;0;0;1;0;2;0;1;0;1;1;0;1;0
96;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1
97;2;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0
98;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0
99;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Totale;174;174;175;179;179;179;176;169;165;163;161;156;155;150;154;155;149;147

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Cittadinanza straniera - Comune: Cerreto Grue"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
23;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
24;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
27;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
28;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1
29;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
30;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
31;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
32;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
33;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
34;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
35;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
40;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0
41;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
42;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
43;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
44;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
45;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0
46;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0
47;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0;0
48;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0
49;0;0;0;0;0;0;1;1;0;0;1;1;0;2;0;1;0;1
50;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;1;0
51;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1
52;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
57;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
60;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
