"Popolazione per età, vista per singola area - Comune: 078014 - Belsito"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Belsito"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
41;9;13;11;4;7;8;5;12;8;9;5;5;6;11;3;10;8;4
42;4;10;13;11;4;7;8;5;12;8;8;5;6;6;11;3;11;8
43;7;4;9;13;11;3;7;10;5;11;8;8;5;6;6;11;3;11
44;7;7;4;9;13;10;3;7;9;5;10;8;8;6;6;6;11;4
45;5;7;7;4;9;13;10;2;6;9;5;10;8;8;6;6;6;9
46;6;5;7;6;5;9;13;10;2;6;10;5;10;8;8;6;6;6
47;6;6;5;8;6;5;9;13;10;2;6;9;5;10;9;8;6;6
48;6;5;7;5;8;8;5;10;12;10;2;6;8;5;10;8;9;6
49;6;7;4;7;7;7;8;5;10;12;10;2;6;8;5;10;9;9
50;7;6;7;4;7;7;7;9;4;8;12;10;2;6;8;5;10;9
51;3;7;6;8;4;7;8;7;8;5;8;12;8;2;6;8;5;10
52;4;3;7;6;7;5;6;8;7;8;5;10;13;8;2;6;8;5
53;6;4;3;7;6;8;5;7;8;7;8;5;10;13;8;2;6;8
54;4;6;5;3;7;6;6;5;7;8;7;8;5;10;13;8;2;6
55;7;4;6;4;3;7;6;6;5;7;7;7;8;5;10;12;8;2
56;4;7;4;6;4;3;7;6;6;5;7;7;7;8;5;10;12;8
57;5;4;8;4;6;5;3;7;6;6;5;7;7;7;8;5;8;12
58;4;4;4;8;4;6;5;3;7;6;7;5;7;7;7;8;6;8
59;3;4;4;3;8;4;6;5;4;7;6;6;5;7;7;8;7;6
60;5;3;4;3;5;7;4;5;5;3;7;6;6;5;7;7;7;7
61;2;5;2;4;3;5;7;4;5;5;3;7;6;6;5;7;7;7
62;7;2;5;2;4;5;5;7;5;5;5;3;7;6;6;5;7;7
63;4;7;2;5;2;4;5;5;7;5;5;5;3;7;5;6;7;7
64;4;4;7;3;5;2;4;5;5;7;5;5;7;3;7;4;6;6
65;1;4;4;6;3;5;3;4;5;4;8;5;5;7;3;7;4;6
66;4;1;4;4;6;3;5;3;4;5;3;7;5;5;7;3;7;4
67;6;4;3;4;5;6;3;5;3;4;5;3;7;5;5;7;3;7
68;4;6;4;3;4;5;6;3;5;2;4;5;3;7;4;5;7;3
69;5;4;6;3;3;4;5;6;3;5;2;4;5;3;6;4;5;7
70;4;5;3;6;4;3;4;5;6;3;5;2;4;5;4;5;4;5
71;10;3;5;3;6;4;3;4;4;6;3;5;2;3;5;4;5;4
72;6;10;3;5;3;6;4;3;4;3;6;3;5;2;3;5;5;6
73;4;6;10;3;4;3;7;6;3;4;3;6;2;5;2;2;5;4
74;1;4;6;9;3;4;3;6;5;3;4;3;6;2;5;2;2;5
75;2;3;4;6;7;3;4;3;6;6;3;4;3;6;2;5;2;2
76;7;1;3;3;6;7;3;4;3;6;5;3;4;3;6;2;6;1
77;3;7;1;3;3;6;7;3;4;3;6;5;3;4;2;6;2;6
78;5;3;7;1;3;4;5;7;2;4;2;6;5;3;4;2;5;2
79;2;5;3;7;1;2;4;5;6;2;4;2;4;5;4;4;2;5
80;1;2;5;3;7;1;2;4;5;6;2;4;2;4;5;4;4;2
81;2;1;2;4;2;7;1;1;3;5;6;2;4;2;4;3;2;3
82;0;1;1;2;4;1;6;1;1;3;5;6;2;4;2;2;1;2
83;0;0;1;1;2;3;1;5;1;1;3;5;6;1;4;2;2;1
84;1;0;0;1;1;2;2;1;5;1;0;2;5;6;1;4;2;2
85;1;0;0;0;1;1;1;2;1;3;1;0;2;4;4;1;2;2
86;0;1;0;0;0;1;0;1;2;1;3;1;0;2;4;4;1;2
87;0;0;1;0;0;0;1;0;1;2;1;3;1;0;2;4;2;1
88;0;0;0;1;0;0;0;1;0;1;1;1;2;1;0;2;4;2
89;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;4
90;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1
91;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0
92;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
93;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
94;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
95;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;459;468;475;473;477;474;469;486;483;477;475;477;473;463;458;455;455;453
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;4;5;6;5;4;6;2;3;5;2;1;4;3;0;1;1;3;1
1;1;4;5;6;6;4;6;2;3;6;2;0;4;3;0;1;2;3
2;2;2;4;5;6;6;4;6;2;3;7;2;0;4;3;0;1;2
3;3;2;2;4;5;5;6;4;6;2;3;7;2;0;4;3;0;1
4;3;3;1;2;4;5;5;6;4;5;2;3;6;2;2;3;5;0
5;5;3;4;1;2;4;5;5;7;4;5;2;3;6;2;2;3;5
6;6;6;3;3;1;2;4;5;5;5;4;5;2;3;6;2;3;3
7;3;6;6;3;3;1;2;4;5;5;4;4;5;2;3;6;3;3
8;3;3;6;6;3;3;2;3;4;5;5;3;4;5;2;3;7;3
9;8;3;3;6;6;3;4;2;3;5;4;4;3;4;5;1;4;7
10;8;8;3;3;7;5;2;4;2;3;5;4;4;3;5;5;1;3
11;8;8;8;3;3;7;5;2;4;2;3;5;4;4;3;5;5;1
12;7;8;9;8;3;3;7;4;2;3;2;3;5;4;4;3;6;5
13;2;7;8;9;8;3;3;7;4;2;3;2;3;5;4;4;3;6
14;4;3;7;8;9;8;3;4;7;5;2;3;2;3;5;4;4;3
15;9;4;3;9;9;9;8;3;4;7;5;2;3;2;3;5;4;4
16;5;9;2;3;9;9;9;8;3;4;7;5;2;3;3;3;5;5
17;5;5;9;2;4;8;10;8;8;3;4;7;5;2;3;3;3;5
18;5;5;5;9;2;3;8;10;8;8;3;4;6;5;2;3;2;3
19;9;5;5;5;9;2;3;8;11;8;8;3;4;6;5;2;4;1
20;5;9;5;5;6;10;4;3;8;11;8;8;3;4;6;5;2;3
21;7;5;8;5;6;7;8;5;3;8;10;8;8;3;5;7;5;2
22;0;8;4;8;5;7;8;9;5;3;9;10;8;8;3;4;8;5
23;4;1;7;6;8;5;7;7;10;3;3;9;9;7;8;3;4;6
24;6;3;1;8;6;9;6;5;7;10;2;3;8;9;7;7;3;4
25;7;6;4;1;7;5;9;5;5;6;10;3;5;8;9;8;7;3
26;3;7;4;3;3;6;6;11;5;6;7;10;4;6;9;8;9;7
27;9;3;7;6;4;3;6;5;11;5;9;7;7;4;6;10;8;9
28;4;9;4;7;7;4;2;6;5;11;5;10;6;8;4;7;10;8
29;8;4;9;3;7;7;4;2;6;5;11;5;10;6;8;4;8;10
30;8;8;5;11;5;7;4;4;2;6;5;8;5;6;6;8;5;8
31;6;7;9;4;11;5;7;3;5;2;7;5;7;5;7;6;7;3
32;10;6;7;9;4;11;4;7;2;5;2;7;5;7;5;6;6;7
33;12;8;5;7;10;4;10;4;8;3;5;3;7;5;8;4;7;6
34;6;13;9;5;9;11;4;9;4;8;4;5;3;7;5;8;4;7
35;9;7;13;9;5;9;11;4;8;4;8;4;5;3;7;3;7;3
36;10;9;8;14;9;5;9;11;5;8;4;7;4;6;3;7;3;7
37;9;11;9;8;14;9;5;8;11;5;8;4;8;4;6;3;6;4
38;9;9;11;9;8;14;9;5;8;10;5;8;4;7;4;6;4;5
39;7;9;9;11;9;7;14;9;5;8;10;5;7;4;7;3;7;4
40;5;7;9;12;11;9;8;14;9;4;8;10;5;6;5;6;3;7
41;9;5;7;9;12;11;9;8;13;9;4;8;10;5;6;4;6;3
42;9;9;6;7;9;10;9;9;8;12;8;4;9;10;5;6;4;6
43;4;9;10;6;7;9;10;9;9;7;12;8;3;9;10;5;6;4
44;8;4;9;10;6;8;9;10;9;8;7;12;8;3;9;10;6;6
45;5;8;4;9;11;6;8;9;10;9;8;7;11;8;3;9;10;4
46;7;5;8;4;9;11;6;8;9;10;9;8;7;11;8;3;9;10
47;6;7;6;7;4;9;10;6;8;9;10;10;8;6;10;8;3;9
48;5;4;7;6;8;4;9;10;6;8;11;10;9;8;6;11;8;2
49;2;5;4;7;6;7;4;9;10;6;8;11;10;9;8;6;11;8
50;5;2;5;4;7;6;8;3;9;10;6;8;10;10;8;8;6;11
51;7;5;2;3;4;7;6;8;3;9;10;6;8;10;10;8;8;6
52;5;7;5;2;4;4;7;6;7;3;9;9;6;8;10;10;9;8
53;3;5;7;5;2;4;4;7;6;7;3;9;9;5;8;10;10;10
54;7;3;4;8;5;2;4;4;7;6;7;3;9;10;5;8;10;10
55;3;7;3;4;6;5;2;4;4;7;6;7;3;9;10;5;8;10
56;4;3;7;3;4;5;5;2;4;4;7;6;7;3;9;10;5;9
57;3;4;3;7;3;5;5;5;3;5;4;7;6;7;3;9;11;5
58;6;4;4;3;7;3;5;6;4;3;4;4;7;6;7;3;9;11
59;1;6;4;4;3;7;3;5;6;5;3;4;5;6;6;7;4;10
60;5;1;6;4;4;5;7;3;5;6;5;3;4;5;6;6;7;3
61;3;7;1;6;3;4;5;7;3;5;7;5;3;4;5;6;6;7
62;4;2;7;1;6;3;4;5;7;3;5;7;5;3;5;5;6;6
63;5;4;2;7;1;6;3;4;5;7;3;5;8;5;3;5;5;6
64;2;5;4;2;6;2;6;3;4;3;7;3;5;8;5;3;5;5
65;6;2;5;4;2;6;2;6;3;4;3;7;3;4;7;5;3;4
66;5;6;2;5;5;2;6;2;6;3;4;3;8;3;4;7;5;3
67;4;5;6;2;5;5;2;6;2;6;3;4;3;8;3;4;6;5
68;8;4;5;6;2;5;5;2;6;2;6;3;4;3;7;3;4;6
69;5;7;4;5;6;2;5;5;2;6;2;6;3;4;3;7;3;4
70;5;5;8;4;5;6;2;5;5;2;6;2;6;3;4;3;7;3
71;4;5;5;8;4;5;6;3;5;5;2;4;2;6;3;4;3;6
72;8;4;5;5;8;4;5;6;3;5;5;2;4;2;6;3;4;3
73;3;8;4;5;4;8;5;5;6;3;5;5;2;5;2;6;3;4
74;6;3;8;2;5;4;8;5;5;8;3;5;4;2;4;2;6;3
75;7;6;3;8;2;5;3;8;4;5;7;3;5;4;2;4;2;6
76;5;7;6;3;8;2;5;3;8;4;5;7;3;5;4;2;4;2
77;3;5;7;5;3;8;2;5;3;8;4;5;7;3;5;4;2;4
78;3;3;5;6;5;3;7;2;4;3;7;4;6;7;2;5;4;2
79;4;3;3;5;6;5;3;6;2;4;3;7;4;4;7;2;5;4
80;7;4;3;3;5;6;5;3;6;2;4;3;7;4;5;7;2;5
81;1;7;3;3;3;5;5;5;3;7;2;3;3;7;4;5;7;1
82;2;2;7;3;3;3;5;5;5;3;7;2;2;3;7;4;6;7
83;3;2;3;7;3;3;2;5;5;5;3;7;2;2;3;6;5;6
84;3;3;2;3;5;3;3;2;5;4;5;4;7;2;2;3;4;5
85;1;3;3;2;2;4;3;3;2;4;3;5;4;6;2;2;3;4
86;3;1;3;3;2;2;4;3;3;2;4;3;4;4;6;2;2;2
87;0;2;2;3;3;2;2;4;3;3;2;4;2;4;4;5;2;2
88;3;0;2;0;3;2;2;1;2;3;3;2;4;2;3;4;5;2
89;1;3;0;1;0;3;2;2;0;2;2;3;2;3;2;3;4;5
90;1;1;1;0;1;0;3;2;1;0;2;2;2;2;3;0;4;4
91;0;1;1;1;0;1;0;1;2;1;0;2;2;2;2;3;0;4
92;2;0;1;1;1;0;1;0;1;1;1;0;1;1;2;2;3;0
93;1;2;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;2
94;0;1;1;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0
95;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;1;0;0
96;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0
97;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1
98;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Totale;466;474;479;484;497;500;496;491;491;487;489;486;477;466;471;458;475;461

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Cittadinanza italiana - Comune: Belsito"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6;12;10;10;8;9;4;9;8;8;5;6;4;2;4;7;5;7
1;3;6;12;11;11;8;9;4;9;8;8;4;6;3;2;4;7;4
2;6;4;6;12;11;11;7;8;4;9;9;8;4;6;3;1;4;6
3;6;8;4;6;12;10;11;7;8;4;9;9;8;4;7;3;1;3
4;7;7;7;4;6;12;8;11;7;8;4;9;9;8;5;6;4;1
5;8;7;8;5;5;6;11;8;12;7;8;4;9;8;8;5;6;3
6;13;8;7;10;4;5;6;11;8;10;7;8;4;9;8;8;6;6
7;9;13;8;7;10;4;5;7;11;8;9;7;8;4;9;9;8;6
8;7;10;12;8;7;10;5;6;7;11;9;8;7;8;4;9;10;8
9;16;6;10;12;8;7;10;6;6;8;10;8;9;7;8;3;8;10
10;12;16;6;10;13;7;6;10;5;6;8;8;8;8;7;8;3;7
11;13;12;16;7;10;13;9;6;10;5;7;8;8;8;8;7;8;3
12;15;14;13;16;7;10;13;8;6;10;5;7;8;8;8;8;8;8
13;7;15;14;13;16;6;10;15;8;6;10;5;7;8;8;8;8;7
14;9;8;15;14;13;16;7;11;15;9;7;10;5;7;8;8;8;8
15;14;9;8;17;15;13;16;7;11;15;9;7;10;5;7;8;8;8
16;15;14;7;8;17;13;13;16;7;11;15;9;7;10;6;7;8;8
17;12;14;14;7;9;16;13;12;16;7;11;15;9;7;10;6;7;8
18;7;12;14;14;7;8;16;13;12;16;7;11;14;9;7;10;5;7
19;16;6;12;14;13;7;8;15;14;12;16;7;11;14;9;7;11;4
20;10;17;6;12;16;14;7;8;15;14;12;16;7;11;13;9;6;10
21;12;10;16;6;13;16;12;7;8;15;14;12;16;7;11;15;9;6
22;6;12;9;16;7;14;17;14;8;8;16;14;12;16;7;11;15;9
23;12;7;11;10;17;7;14;16;14;8;8;15;13;11;15;7;11;13
24;9;11;7;12;11;17;8;12;16;14;7;8;14;13;11;14;7;11
25;21;8;12;7;11;10;16;7;12;15;14;8;10;13;13;11;13;7
26;14;21;6;10;10;11;8;18;6;12;14;14;9;10;13;12;11;13
27;14;15;21;8;11;10;11;7;18;7;14;15;13;9;10;14;12;11
28;15;13;13;21;9;12;9;11;7;18;7;14;14;13;9;11;16;12
29;13;15;13;13;21;9;11;8;10;7;19;7;14;13;13;9;12;16
30;16;14;14;15;15;19;6;11;8;11;7;16;7;12;13;13;8;12
31;11;15;15;13;15;13;19;5;12;8;12;7;14;7;12;14;12;7
32;18;11;15;15;15;16;12;18;4;12;8;12;7;14;7;12;14;13
33;19;15;10;13;15;16;15;12;19;5;12;9;12;7;15;6;13;12
34;18;20;18;11;13;16;16;12;13;16;7;13;9;12;7;15;6;13
35;17;19;20;19;10;13;16;16;11;13;16;6;13;9;12;5;14;5
36;17;17;19;22;18;10;12;16;19;12;13;14;6;14;9;11;5;14
37;16;18;14;19;22;17;11;12;16;18;12;14;13;6;14;7;10;6
38;13;16;18;14;19;22;17;11;13;17;16;12;14;12;5;13;7;10
39;16;12;17;18;14;18;22;18;10;13;17;16;11;14;12;5;14;7
40;18;18;12;19;19;14;18;22;18;9;13;17;16;9;15;13;8;14
41;18;18;18;12;19;19;14;18;21;18;9;13;16;16;9;14;13;7
42;13;19;19;18;12;17;17;14;18;20;16;9;15;16;16;9;14;13
43;11;13;18;19;18;12;17;19;14;18;20;16;8;15;16;16;9;14
44;15;11;13;18;19;18;12;17;18;13;17;20;16;9;15;16;17;10
45;10;15;11;13;18;19;18;11;16;18;13;17;19;16;9;15;16;13
